"id","province_id","name"
1,6,Bahía Crustáceo
2,4,Bosque Brumoso
3,4,Bosque Crecido
4,4,Bosque Elemental
5,4,Bosque Nido
6,4,Bosque Sanador
7,4,Bosque Trans
8,7,Campo Terroso
9,1,Caverna Gélida
10,6,La Marjal
11,6,Charca Renacuajo
12,6,Bonalba
13,1,Corriente Marina
14,7,Cráter
15,1,Mar Sereno
16,2,Lago Místico
17,1,Fosa Abisal 1
18,1,Mina Magnética
19,5,Pradera Celeste
20,5,Pradera Salvaje
21,5,Río Manso
22,2,Selva
23,1,Vieja Central
24,7,Sierra Quemada
25,1,Central Energía
26,2,Bosque Secreto
27,7,Sabana
28,7,Prado Trueno
29,6,Pozas De Valencia
30,7,Fosa Abisal 2
31,7,Desierto Horno
33,6,Calvari
34,3,Pantano Ponzoña
35,1,Playa Cubito
36,3,Las Ramblas
37,5,Pradera Orgullosa
38,4,Monte Verde
39,2,Cueva Dragón
40,7,Cueva Granito
42,7,Estrecho de Gibraltar
43,6,Playa del Postiguet
44,2,Monte Partido
45,2,Camara Omega
46,3,Camara Alfa
47,3,Vieja Reliquia
48,6,Tabarca
