"id","pokemon_id","habitat_id","level"
1,113,6,2
2,242,6,3
3,440,6,1
19,245,13,2
20,393,35,1
21,394,35,2
22,395,35,3
23,363,35,1
24,364,35,2
25,365,35,3
26,220,9,1
27,221,9,2
28,473,9,3
29,215,9,1
31,461,9,2
32,903,9,2
33,225,9,2
34,872,9,1
35,873,9,2
36,613,9,1
37,614,9,2
38,124,9,2
39,238,9,1
40,122,9,2
42,439,9,1
43,866,9,3
44,361,9,1
45,362,9,2
47,478,9,2
49,86,35,1
50,87,35,2
51,90,35,1
52,91,35,2
53,459,35,1
54,460,35,2
56,131,35,1
58,875,35,1
60,974,9,1
61,975,9,2
62,374,18,1
63,375,18,2
64,376,18,3
66,81,18,1
67,82,18,2
68,462,18,3
69,299,18,1
70,476,18,2
71,125,25,2
72,239,25,1
73,466,25,3
74,100,25,1
76,101,25,2
82,27,31,1
84,28,31,2
86,443,31,1
87,444,31,2
88,445,31,3
91,449,31,1
92,450,31,2
93,551,31,1
94,552,31,2
95,553,31,3
96,659,31,1
97,660,31,2
98,328,31,1
99,329,31,2
100,330,31,3
101,769,31,1
102,770,31,2
103,74,40,1
105,75,40,2
107,76,40,3
109,95,40,1
110,208,40,2
112,111,40,1
113,112,40,2
114,464,40,3
115,21,8,1
116,22,8,2
117,401,8,1
118,402,8,2
119,557,8,1
120,558,8,2
121,917,8,1
122,918,8,2
123,919,8,1
124,920,8,2
125,953,8,1
126,954,8,2
127,309,28,1
128,310,28,2
130,403,28,1
131,404,28,2
132,405,28,3
133,522,28,1
134,523,28,2
135,179,28,1
136,180,28,2
137,181,28,3
139,835,28,1
140,836,28,2
141,777,28,1
143,848,28,1
144,849,28,2
148,255,24,1
149,256,24,2
150,257,24,3
152,498,24,1
153,499,24,2
154,500,24,3
156,4,24,1
157,5,24,2
158,6,24,3
162,37,24,1
164,38,24,2
166,58,24,1
168,59,24,2
170,77,24,1
172,78,24,2
174,155,14,1
175,156,14,2
176,157,14,3
178,390,14,1
179,391,14,2
180,392,14,3
181,324,14,2
182,218,14,1
183,219,14,2
184,322,24,1
185,323,24,2
187,228,24,1
188,229,24,2
190,725,24,1
191,726,24,2
192,727,24,3
193,813,24,1
194,814,24,2
195,815,24,3
197,935,24,1
198,936,24,2
199,937,24,2
200,126,14,2
201,240,14,1
202,467,14,3
203,7,11,1
204,8,11,2
205,9,11,3
208,60,11,1
209,61,11,2
210,62,11,3
211,186,11,3
212,258,11,1
213,259,11,2
214,260,11,3
216,270,11,1
217,271,11,2
218,272,11,3
219,1,11,1
220,2,11,2
221,3,11,3
224,387,11,1
225,388,11,2
226,389,11,3
227,341,1,1
228,342,1,2
229,98,1,1
230,99,1,2
232,138,1,1
233,139,1,2
234,140,1,1
235,141,1,2
236,345,1,1
237,346,1,2
238,347,1,1
239,348,1,2
240,16,5,1
241,17,5,2
242,18,5,3
244,163,5,1
245,164,5,2
246,198,5,1
247,430,5,2
248,276,5,1
249,277,5,2
250,396,5,1
251,397,5,2
252,398,5,3
254,519,5,1
255,520,5,2
256,521,5,3
257,627,5,1
258,628,5,2
260,722,5,1
261,723,5,2
262,724,5,3
264,821,5,1
265,822,5,2
266,823,5,3
268,629,38,1
269,630,38,2
270,88,34,1
272,89,34,2
274,109,34,1
275,110,34,2
277,451,34,1
278,452,34,2
279,690,34,1
280,691,34,2
282,747,34,1
283,748,34,2
284,453,34,1
285,454,34,2
286,336,34,2
287,302,36,1
289,359,36,1
292,559,36,1
293,560,36,2
295,674,36,1
296,675,36,2
297,859,36,1
298,860,36,2
299,861,36,3
301,331,36,1
302,332,36,2
303,434,36,1
304,435,36,2
305,261,36,1
306,262,36,2
307,570,36,1
309,571,36,2
311,442,36,2
312,43,2,1
313,44,2,2
314,45,2,3
315,182,2,3
316,46,2,1
317,47,2,2
325,285,2,1
326,286,2,2
327,420,2,1
328,421,2,2
329,540,2,1
330,541,2,2
331,542,2,3
332,546,2,1
333,547,2,2
334,548,2,1
335,549,2,2
337,650,2,1
338,651,2,2
339,652,2,3
341,23,22,1
342,24,22,2
343,48,22,1
344,49,22,2
345,69,22,1
346,70,22,2
347,71,22,3
349,102,22,1
350,103,22,2
352,455,22,2
353,753,22,1
354,754,22,2
356,810,22,1
357,811,22,2
358,812,22,3
366,316,22,1
367,317,22,2
368,167,26,1
369,168,26,2
370,265,26,1
371,266,26,2
372,267,26,3
373,268,26,2
374,269,26,3
375,10,26,1
376,11,26,2
377,12,26,3
379,13,26,1
380,14,26,2
381,15,26,3
383,114,22,1
384,465,22,2
385,622,47,1
386,623,47,2
388,203,47,1
389,981,47,2
390,337,47,2
391,338,47,2
392,343,47,1
393,344,47,2
394,577,46,1
395,578,46,2
396,579,46,3
397,561,46,2
398,41,36,1
399,42,36,2
400,169,36,3
401,355,36,1
402,356,36,2
403,477,36,3
404,960,48,1
405,961,48,2
406,912,48,1
407,913,48,2
408,914,48,3
409,183,43,2
410,184,43,3
411,298,43,1
412,222,43,1
414,864,43,2
415,369,1,2
416,882,1,2
417,883,1,2
418,278,48,1
419,279,48,2
420,35,6,2
421,36,6,3
423,173,6,1
424,39,6,2
425,40,6,3
426,174,6,1
432,436,18,1
433,437,18,2
434,79,10,1
436,80,10,2
439,199,10,2
441,194,11,1
443,195,11,2
444,980,11,2
445,501,11,1
446,502,11,2
447,503,11,3
449,739,1,1
450,740,1,2
452,950,1,2
453,54,10,1
454,55,10,2
455,187,10,1
456,188,10,2
457,189,10,3
458,191,10,1
459,192,10,2
460,66,44,1
461,67,44,2
462,68,44,3
464,106,44,2
465,107,44,2
466,236,44,1
467,237,44,2
468,56,44,1
469,57,44,2
470,979,44,3
471,296,44,1
472,297,44,2
473,307,44,1
474,308,44,2
476,532,44,1
477,533,44,2
478,534,44,3
479,538,44,2
480,539,44,2
481,19,20,1
483,20,20,2
486,52,20,1
490,53,20,2
492,863,20,2
493,83,20,1
495,865,20,2
